No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
1,爱情,ài qíng,romance; love (romantic); CL:个,恋愛,爱情让人快乐。,愛情は人を幸せにする。,Love makes people happy.,他们的爱情经过了很多困难，但最终还是走到了一起。,彼らの愛情は多くの困難を経験しましたが、最終的に一緒になりました。
2,安排,ān pái,to arrange; to plan; to set up,手配,我安排了会议。,私は会議を手配した。,I arranged the meeting.,老师已经安排好了下周的考试时间和地点。,先生は来週の試験の時間と場所をすでに手配しました。
3,安全,ān quán,safe; secure; safety; security,安全,请保证安全第一。,安全第一を必ず守ってください。,Please ensure safety first.,为了安全起见，大家都必须戴好安全帽。,安全のために、みんな安全帽を必ずかぶらなければなりません。
4,按时,àn shí,on time; before deadline; on schedule,時間通りに,他总是按时来。,彼はいつも時間通りに来る。,He always comes on time.,请你按时完成作业，不要拖到最后一刻。,宿題は時間通りに終わらせて、最後の一瞬まで引き延ばさないでください。
5,按照,àn zhào,according to; in accordance with; in the light of; on the basis of,〜に従って,按照计划行事。,計画に従って行動する。,Act according to the plan.,我们要按照老师的要求认真准备这次演讲。,私たちは先生の要求に従って、この発表を真剣に準備しなければなりません。
6,百分之,bǎi fēn zhī,percent;,パーセント,成功率百分之九十。,成功率は90パーセントです。,The success rate is ninety percent.,这次考试我得了百分之九十的分数，非常满意。,今回の試験で私は90点を取り、とても満足しています。
7,棒,bàng,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,すばらしい,你表现得很棒。,あなたはとても素晴らしく振る舞った。,You performed very well.,你的表现非常棒，大家都为你鼓掌了。,君のパフォーマンスはとても素晴らしく、みんなが君に拍手を送りました。
8,包子,bāo zi,steamed stuffed bun; CL:个,中華まん,早上我吃包子。,朝、私は包子を食べた。,I ate steamed buns in the morning.,早上我吃了几个热腾腾的包子，感觉很满足。,朝、私は熱々の肉まんをいくつか食べて、とても満足しました。
9,保护,bǎo hù,to protect; to defend; to safeguard; protection; CL:种[zhong3],保護,保护环境很重要。,環境を保護することはとても重要だ。,Protecting the environment is very important.,我们应该保护环境，减少污染，共同努力。,私たちは環境を保護し、汚染を減らし、一緒に努力すべきです。
10,保证,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:个,保証,我保证按时完成。,私は時間通りに終わらせることを約束します。,I promise to finish on time.,公司保证所有产品都经过严格的质量检测。,会社はすべての製品が厳しい品質検査を通過していることを保証します。
11,报名,bào míng,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,申し込み,他报名了比赛。,彼は試合に申し込んだ。,He signed up for the competition.,如果你想参加比赛，请尽快报名。,もし大会に参加したいなら、できるだけ早く申し込んでください。
12,抱,bào,to hold; to carry (in one's arms); to hug or embrace; surround; cherish,抱く,妈妈抱着宝宝。,お母さんは赤ちゃんを抱いている。,Mother is holding the baby.,妈妈抱着宝宝，温柔地哄他入睡。,お母さんは赤ちゃんを抱いて、優しくあやして寝かしつけました。
13,抱歉,bào qiàn,sorry; We apologize!; to feel apologetic; to regret,すみません,我很抱歉迟到。,遅れて申し訳ありません。,I am very sorry for being late.,对不起，我迟到了，真的很抱歉。,すみません、遅刻しました。本当に申し訳ありません。
14,倍,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",倍,价格涨了两倍。,価格が2倍に上がった。,The price has doubled.,今年的销售额比去年增加了三倍，非常可喜。,今年の売上は去年の3倍に増え、とても喜ばしいです。
15,本来,běn lái,original; originally; at first; it goes without saying; of course,もともと,本来计划很简单。,もともとの計画はとても簡単だった。,The original plan was very simple.,这本书本来是给孩子看的，但我自己也很喜欢。,この本はもともと子供向けですが、私自身もとても好きです。
16,笨,bèn,stupid; foolish; silly; slow-witted; clumsy,ばか,我觉得自己笨。,自分はバカだと思う。,I think I am stupid.,他虽然有点笨，但学习非常努力。,彼は少しばかり頭が悪いですが、一生懸命勉強しています。
17,比如,bǐ rú,for example; for instance; such as,例えば,比如说学汉语。,例えば中国語を学ぶこと。,"For example, learning Chinese.",你可以选择运动，比如篮球、足球或者游泳。,君は運動を選べます。例えばバスケットボール、サッカー、あるいは水泳などです。
18,毕业,bì yè,to graduate; graduation; to finish school,卒業,他去年毕业了。,彼は去年卒業した。,He graduated last year.,他今年毕业后，打算去国外继续深造。,彼は今年卒業した後、海外でさらに勉強するつもりです。
19,遍,biàn,a time; everywhere; turn; all over; one time,回数,我去过那里三遍。,そこに三回行ったことがある。,I have been there three times.,我已经看过这部电影三遍了，还是很喜欢。,私はこの映画をすでに3回見ましたが、やはりとても好きです。
20,标准,biāo zhǔn,(an official) standard; norm; criterion; CL:个,基準,标准很高很严格。,基準は高くて厳しい。,The standards are high and strict.,公司的产品必须符合国家的质量标准。,会社の製品は国の品質基準に合致しなければなりません。
21,表格,biǎo gé,"form; table; CL:张[zhang1] ,份[fen4]",フォーム,请填写表格。,フォームに記入してください。,Please fill out the form.,请你填写这张表格，然后交给老师。,この用紙に記入してから、先生に提出してください。
22,表示,biǎo shì,to express; to show; to say; to state; to indicate; to mean,表す,他表示同意意见。,彼は意見に同意すると表明した。,He expressed agreement with the opinion.,他用微笑表示对大家的感谢和尊重。,彼は微笑みでみんなへの感謝と尊敬を表しました。
23,表演,biǎo yǎn,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:场[chang3],演技,她表演得很棒。,彼女の演技はとても素晴らしかった。,She performed wonderfully.,学校举办了一场精彩的表演，吸引了很多观众。,学校は素晴らしい演技を開催し、多くの観客を惹きつけました。
