No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
1,爱,ài,to love; affection; to be fond of; to like,愛,我爱你。,私はあなたを愛しています。,I love you.,我爱我的家人和朋友。,私は家族と友達を愛しています。
2,八,bā,eight; 8,八,我有八个苹果。,私は8個のリンゴを持っています。,I have eight apples.,我家有八个人，很热闹。,私の家には8人いて、とても賑やかです。
3,爸爸,bà ba,"father (informal); CL:个[ge4] ,位[wei4]",お父さん,爸爸很大。,お父さんはとても大きいです。,Dad is very big.,爸爸今天去公司工作了。,お父さんは今日会社に行って働きました。
4,杯子,bēi zi,"cup; glass; CL:个[ge4] ,支[zhi1]",コップ,杯子里有水。,コップの中に水があります。,There is water in the cup.,请给我一个干净的杯子。,きれいなコップを一つください。
5,北京,běi jīng,Beijing; capital of People's Republic of China; Peking; PRC government,北京,我去北京。,私は北京に行きます。,I am going to Beijing.,我明天去北京旅游。,私は明日北京に旅行に行きます。
6,本,běn,"origin; source; roots or stems of plants; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",冊,这是一本书。,これは一冊の本です。,This is a book.,这本书很有意思。,この本はとても面白いです。
7,不客气,bú kè qi,you're welcome; it's my pleasure (answer to someone who thanks),どういたしまして,不客气！,どういたしまして！,You're welcome!,谢谢你，不客气。,ありがとう、どういたしまして。
8,不,bù,not (negative prefix); no,～ない,我不去。,私は行きません。,I am not going.,我不喜欢吃辣的菜。,私は辛い料理が好きではありません。
9,菜,cài,"dish (type of food); vegetables; vegetable; cuisine; CL:盘[pan2] ,道[dao4]",料理,我喜欢菜。,私は料理が好きです。,I like dishes.,妈妈做的菜很好吃。,お母さんが作った料理はとても美味しいです。
10,茶,chá,"tea; tea plant; CL:杯[bei1] ,壶[hu2]",お茶,我喝茶。,私はお茶を飲みます。,I drink tea.,我喜欢喝绿茶和红茶。,私は緑茶と紅茶を飲むのが好きです。
11,吃,chī,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,食べる,我吃饭。,私はご飯を食べます。,I eat rice.,我们一起吃饭吧。,一緒にご飯を食べましょう。
12,出租车,chū zū chē,taxi,タクシー,我坐出租车。,私はタクシーに乗ります。,I take a taxi.,我坐出租车去学校。,私はタクシーに乗って学校に行きます。
13,打电话,dǎ diàn huà,to make a phone call,電話する,我打电话。,私は電話をかけます。,I make a phone call.,我想给朋友打电话。,私は友達に電話をかけたいです。
14,大,dà,big; huge; large; major; great; wide; deep; oldest; eldest,大きい,房子很大。,家はとても大きいです。,The house is very big.,这是一只大狗。,これは大きな犬です。
15,的,de,"of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive",～の,我的书。,私の本。,My book.,这是我的书的封面。,これは私の本の表紙です。
16,点,diǎn,a little; a bit; drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,時（時間）,现在三点。,今は3時です。,It is three o'clock now.,现在是三点半了。,今は3時半です。
17,电脑,diàn nǎo,computer; CL:台[tai2],パソコン,我有电脑。,私はパソコンを持っています。,I have a computer.,我的电脑很快。,私のパソコンはとても速いです。
18,电视,diàn shì,"television; TV; CL:台[tai2] ,个[ge4]",テレビ,我看电视。,私はテレビを見ます。,I watch TV.,晚上我喜欢看电视。,夜はテレビを見るのが好きです。
19,电影,diàn yǐng,"movie; film; CL:部[bu4] ,幕[mu4] ,场[chang3]",映画,我喜欢电影。,私は映画が好きです。,I like movies.,我们去看新电影吧。,新しい映画を見に行きましょう。
20,东西,dōng xi,"thing; stuff; person; CL:个[ge4] ,件[jian4]",もの,这是东西。,これは物です。,This is a thing.,桌子上有很多东西。,テーブルの上にたくさんの物があります。
21,都,dōu,"all, both; entirely (due to) each; even; already",全部,我们都去。,私たちはみんな行きます。,We all go.,我们都喜欢学习汉语。,私たちはみんな中国語を学ぶのが好きです。
22,读,dú,"to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",読む,我读书。,私は本を読みます。,I read books.,我每天读汉语课本。,私は毎日中国語の教科書を読みます。
23,对不起,duì bu qǐ,I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat); unworthy; to let down;,ごめんなさい,对不起！,ごめんなさい！,Sorry!,对不起，我迟到了。,すみません、遅れました。
24,多,duō,many; much; a lot of; numerous; multi-,多い,这里人多。,ここは人が多いです。,There are many people here.,你有很多朋友吗？,あなたは友達がたくさんいますか？
25,多少,duō shǎo,how much; how many,いくつ,你多少？,あなたはいくつですか？,How many do you have?,这个多少钱？,これはいくらですか？
