No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
1,吧,ba,modal particle indicating polite suggestion;...right?;...OK?,〜吧,我们走吧。,行きましょう。,Let's go.,我们去公园玩吧，天气很好。,公園に遊びに行きましょう、天気がとてもいいです。
2,白,bái,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,白い,这是一只白猫。,これは白い猫です。,This is a white cat.,这条裙子是白色的，很漂亮。,このスカートは白色で、とてもきれいです。
3,百,bǎi,hundred; numerous; all kinds of; surname Bai,百,我有一百元。,私は100元持っています。,I have 100 yuan.,我有一百块钱可以买很多东西。,私は100元持っていて、たくさんのものを買えます。
4,帮助,bāng zhù,assistance; aid; to help; to assist,助ける,我帮助你。,私はあなたを助けます。,I help you.,请你帮助我做作业好吗？,宿題を手伝ってくれませんか？
5,报纸,bào zhǐ,"newspaper; newsprint; CL:份[fen4] ,期[qi1] ,张[zhang1]",新聞,我看报纸。,私は新聞を読みます。,I read the newspaper.,我每天早上都会看报纸。,私は毎朝必ず新聞を読みます。
6,比,bǐ,particle used for comparison and '-er than'; to compare; to contrast; to gesture (with hands); ratio,比べる,他比我高。,彼は私より背が高いです。,He is taller than me.,我比你高一点儿。,私はあなたより少し背が高いです。
7,别,bié,do not; must not; to pin; to leave; to depart; to separate; to distinguish; to classify; other; another,〜しないで,别走！,行かないで！,Don't go!,别忘了明天的考试。,明日の試験を忘れないでください。
8,宾馆,bīn guǎn,"guesthouse; CL:个,家[jia1]",ホテル,我们住宾馆。,私たちはホテルに泊まります。,We stay at a hotel.,我们住在市中心的宾馆里。,私たちは市の中心にあるホテルに泊まっています。
9,长,cháng,long; length,長い,头发很长。,髪がとても長いです。,The hair is very long.,这条路很长，大约有三公里。,この道はとても長くて、だいたい3キロメートルあります。
10,唱歌,chàng gē,to sing a song,歌う,她喜欢唱歌。,彼女は歌うのが好きです。,She likes singing.,她喜欢在晚上唱歌给家人听。,彼女は夜に家族に歌うのが好きです。
