No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
1,哎,āi,hey!; (interjection used to attract attention or to express surprise or disapprobation);,ああ（感嘆）,哎，这真是意外。,ああ、これは本当に予想外だ。,"Ah, this is really unexpected.",哎，你怎么又忘了今天的会议时间？,ああ、また今日の会議の時間を忘れたの？
2,唉,āi,(interjection to express agreement or recognition); to sigh,ああ（嘆き）,唉，考试又没及格。,ああ、また試験に合格できなかった。,"Sigh, I failed the exam again.",唉，天气这么差，真不想出门。,ああ、こんなに天気が悪いと、本当に外に出たくない。
3,爱护,ài hù,to take care of; to treasure; to cherish; to love and protect,大切にする,我们应该爱护环境。,私たちは環境を大切にすべきだ。,We should protect the environment.,我们应该爱护环境，保护我们的地球。,私たちは環境を大切にし、地球を守るべきだ。
4,爱惜,ài xī,to cherish; to treasure; to use sparingly,惜しむ,他很爱惜自己的时间。,彼は自分の時間をとても大切にしている。,He values his time very much.,请爱惜粮食，避免浪费每一粒米。,どうか食べ物を大切にし、一粒の米も無駄にしないでください。
5,爱心,ài xīn,compassion; CL:片[pian4],思いやり,她充满了爱心帮助别人。,彼女は愛情にあふれて人を助けている。,She is full of love and helps others.,他的爱心让许多贫困儿童得到了帮助。,彼の思いやりの心が、多くの貧しい子どもたちを助けた。
6,安慰,ān wèi,to comfort; to console; CL:个,慰める,朋友安慰我不要担心。,友達が私を慰めて心配しないように言ってくれた。,My friend comforted me and told me not to worry.,遇到困难时，朋友的安慰非常重要。,困難に直面したとき、友達の慰めは非常に重要だ。
7,安装,ān zhuāng,to install; to erect; to fix; to mount; installation,設置する,师傅正在安装新设备。,職人が新しい設備を取り付けている。,The technician is installing new equipment.,技术人员正在安装新的网络设备，以提高速度。,技術者が新しいネットワーク機器を設置して、速度を向上させている。
8,岸,àn,shore; bank; beach; coast; CL:個|个[ge4],岸,船靠岸后开始卸货。,船が岸に着くと荷物の積み下ろしを始めた。,The ship started unloading cargo after docking.,我们在河的岸边搭了帐篷准备露营。,私たちは川の岸辺にテントを張ってキャンプの準備をした。
9,暗,àn,dark; gloomy; hidden; secret; muddled; obscure; in the dark,暗い,房间里很暗，需要开灯。,部屋はとても暗いので、電気をつける必要がある。,The room is very dark and needs the light turned on.,天已经暗了，我们该回家了。,もう暗くなったので、私たちは帰るべきだ。
10,熬夜,áo yè,to stay up late or all night;,夜更かしする,学生常常熬夜复习功课。,学生はよく夜更かしして勉強する。,Students often stay up late reviewing their lessons.,为了赶项目，他连续几天熬夜工作。,プロジェクトを急ぐために、彼は何日も徹夜で働いた。
11,把握,bǎ wò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),把握する,机会来了要好好把握。,チャンスが来たらしっかりと掴むべきだ。,"When opportunity comes, you must seize it well.",只要把握好机会，成功就在眼前。,チャンスをしっかりつかめば、成功は目前にある。
12,摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum,並べる,他把书摆在桌子上。,彼は本を机の上に並べた。,He placed the books on the table.,请把桌上的书摆整齐，方便大家查找。,机の上の本をきちんと並べて、みんなが探しやすいようにしてください。
13,办理,bàn lǐ,to handle; to transact; to conduct,手続きする,请到前台办理入住手续。,フロントでチェックインの手続きをしてください。,Please go to the front desk to check in.,办理签证手续需要准备相关材料。,ビザの手続きには関連書類の準備が必要です。
14,傍晚,bàng wǎn,in the evening; when night falls; towards evening; at night fall; at dusk,夕暮れ,傍晚时分风景特别美。,夕暮れ時の風景は特に美しい。,The scenery at dusk is especially beautiful.,傍晚的时候，公园里散步的人特别多。,夕方になると、公園を散歩する人が特に多い。
15,包裹,bāo guǒ,wrap up; bind up; bundle; parcel; package; CL:个,小包,我收到一个包裹很开心。,私は小包を受け取ってとても嬉しい。,I am very happy to receive a package.,我收到了一个从国外寄来的包裹，非常惊喜。,私は海外から送られてきた荷物を受け取り、とても驚いた。
16,包含,bāo hán,to contain; to embody; to include,含む,这个方案包含许多细节。,このプランには多くの細かい点が含まれている。,This plan contains many details.,这本书包含了丰富的历史知识。,この本には豊富な歴史の知識が含まれている。
17,包括,bāo kuò,to comprise; to include; to involve; to incorporate; to consist of,含む,价格包括税费和运费。,価格には税金と送料が含まれている。,The price includes taxes and shipping fees.,会议包括了多个重要议题的讨论。,会議には複数の重要な議題の討議が含まれている。
18,薄,báo,thin; cold in manner; indifferent; weak; light; infertile,薄い,这张纸非常薄又轻。,この紙はとても薄くて軽い。,This paper is very thin and light.,这张纸很薄，容易撕破。,この紙はとても薄くて、破れやすい。
19,保持,bǎo chí,to keep; to maintain; to hold; to preserve,保つ,保持健康需要合理饮食。,健康を保つにはバランスの良い食事が必要だ。,Maintaining health requires a balanced diet.,我们必须保持良好的工作态度。,私たちは良い仕事の態度を維持しなければならない。
20,保存,bǎo cún,to conserve; to preserve; to keep; to save (a file etc) (computing),保存する,请保存好重要的文件。,重要な書類はしっかり保存してください。,Please keep important documents safe.,请将重要文件妥善保存，以免丢失。,重要な書類はきちんと保存し、紛失しないようにしてください。
21,保留,bǎo liú,to preserve; to maintain; to retain; to continue to have; to reserve; reservations; to hold back (approval or acceptance),残す,我们要保留这段历史记忆。,私たちはこの歴史的な記憶を残さなければならない。,We must preserve this historical memory.,这座古建筑已被保留作为文化遗产。,この古い建物は文化遺産として保存されている。
22,保险,bǎo xiǎn,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4],保険,买保险可以降低风险。,保険に入ることでリスクを減らせる。,Buying insurance can reduce risks.,买保险可以帮助我们降低生活风险。,保険に入ることで、生活のリスクを減らすことができる。
23,宝贝,bǎo bèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,宝物,孩子是父母的宝贝。,子供は親にとっての宝物だ。,Children are treasures to their parents.,这个孩子是家里的宝贝，大家都很宠爱他。,この子は家族の宝物で、みんながとてもかわいがっている。
24,宝贵,bǎo guì,valuable; precious; value; treasure; set store by,貴重な,时间是最宝贵的财富。,時間は最も貴重な財産だ。,Time is the most precious asset.,时间是最宝贵的资源，我们应该珍惜。,時間は最も貴重な資源であり、私たちはそれを大切にすべきだ。
25,报到,bào dào,to check in; to report for duty; to register,出席登録,新生请按时报到入学。,新入生は時間通りに報告して入学してください。,New students should report on time for enrollment.,新员工今天上午九点准时报到。,新入社員は今日の午前9時に定刻通りに出勤した。
26,报道,bào dào,"report; to report (new); CL:篇[pian1] ,份[fen4]",報道,电视台报道了最新新闻。,テレビ局が最新のニュースを報道した。,The TV station reported the latest news.,新闻报道了最新的经济发展情况。,ニュースは最新の経済発展の状況を報道した。
27,报告,bào gào,"to inform; report; make known; speech; talk; lecture; CL:篇[pian1] ,份[fen4] ,个,通[tong4]",報告,他准备了详细的工作报告。,彼は詳細な仕事の報告書を準備した。,He prepared a detailed work report.,经理向全体员工报告了公司的经营状况。,マネージャーは全社員に会社の経営状況を報告した。
28,报社,bào shè,general office of a newspaper; newspaper office; CL:家[jia1],新聞社,报社每天出版多份报纸。,新聞社は毎日多くの新聞を発行している。,The newspaper office publishes many newspapers daily.,这家报社每天出版多份报纸，信息丰富。,この新聞社は毎日複数の新聞を発行し、情報が豊富だ。
29,抱怨,bào yuàn,to complain; to grumble,不平を言う,员工不要随便抱怨工作。,従業員は仕事について軽々しく不満を言わないでください。,Employees should not complain about work casually.,他总是抱怨工作压力大，缺乏动力。,彼はいつも仕事のプレッシャーが大きいと不平を言い、やる気がない。
